disease_id,disease_name,species,pathogen_type,target_system,zoonotic_risk,key_symptoms,molecular_target
D001,Avian Influenza (H5N1),Poultry,Virus,Respiratory/Systemic,High,"respiratory distress, coughing, nasal discharge, sudden death",viral RNA polymerase / hemagglutinin
D002,SARS-CoV-2,Companion animals / multi-species,Virus,Respiratory/Systemic,High,"respiratory signs, fever, nasal discharge, lethargy",spike protein / main protease / RNA-dependent RNA polymerase
D003,Rift Valley Fever,Sheep / Cattle / Goats,Virus,Hemorrhagic/Systemic,High,fever abortion weakness hemorrhage,viral RNA polymerase / glycoproteins
D004,Rabies,Dogs / Cats / Cattle / Multi-species,Virus,Neurological/Systemic,High,hypersalivation aggression paralysis behavioral changes,viral glycoprotein / RNA polymerase
D005,Newcastle Disease,Poultry,Virus,Respiratory/Neurological/Systemic,Medium,respiratory distress nervous signs greenish diarrhea drop in egg production,viral fusion protein / hemagglutinin-neuraminidase
D006,West Nile Fever,Horses / Birds / Humans,Virus,Neurological/Systemic,High,fever weakness ataxia tremors encephalitis,viral envelope protein / RNA-dependent RNA polymerase
D007,Brucellosis,Cattle / Sheep / Goats / Swine,Bacteria,Reproductive/Systemic,High,abortion infertility retained placenta fever,Brucella intracellular survival / protein synthesis
D008,Middle East Respiratory Syndrome (MERS-CoV),Dromedary camels / Humans,Virus,Respiratory/Systemic,High,fever cough pneumonia respiratory distress,spike protein / main protease / RNA-dependent RNA polymerase
D009,Nipah Virus,Pigs / Bats / Humans,Virus,Neurological/Respiratory/Systemic,High,fever encephalitis respiratory distress neurological signs,viral attachment glycoprotein / fusion protein / RNA polymerase
D010,Bovine Tuberculosis,Cattle / Humans,Bacteria,Respiratory/Gastrointestinal/Systemic,High,chronic cough weight loss lymph node enlargement weakness,Mycobacterium cell wall synthesis / intracellular survival
D011,Anthrax,Cattle / Sheep / Goats / Humans,Bacteria,Cutaneous/Respiratory/Systemic,High,sudden death fever edema hemorrhage skin lesions,Bacillus anthracis toxin production / bacterial protein synthesis
D012,Leptospirosis,Dogs / Cattle / Rodents / Humans,Bacteria,Renal/Hepatic/Systemic,High,fever jaundice hemoglobinuria kidney damage abortion,Leptospira motility / bacterial protein synthesis
D013,Q Fever,Cattle / Sheep / Goats / Humans,Bacteria,Respiratory/Reproductive/Systemic,High,fever pneumonia abortion reproductive loss,Coxiella intracellular replication / bacterial protein synthesis
D014,Glanders,Horses / Mules / Donkeys / Humans,Bacteria,Respiratory/Cutaneous/Systemic,High,nasal discharge nodules ulcers fever respiratory signs,Burkholderia mallei intracellular survival / bacterial replication
D015,Psittacosis (Parrot Fever),Birds / Humans,Bacteria,Respiratory/Systemic,High,respiratory distress fever lethargy pneumonia,Chlamydophila intracellular replication / bacterial protein synthesis
D016,Tularemia,Rabbits / Rodents / Humans,Bacteria,Lymphatic/Systemic,High,fever lymphadenopathy ulcers weakness,Francisella intracellular survival / bacterial protein synthesis
